"","CommonName","ScientificName","Order","Family","MeanLog","SDLog","Median","SD"
"1810","Crested Caracara","Caracara cheriway","Falconiformes","Falconidae (Falcons and Caracaras)",14.9095790384013,2.17000400313842,2986399.49774374,8.75831910143438
"1811","Great Pampa-Finch","Embernagra platensis","Passeriformes","Thraupidae (Tanagers and Allies)",14.9451830735583,2.29413452336573,3094642.88687513,9.91585036068474
"1812","Ashy Flycatcher","Fraseria caerulescens","Passeriformes","Muscicapidae (Old World Flycatchers)",14.945948474278,2.27646939198103,3097012.43547932,9.74222364573192
"1813","Common Bronzewing","Phaps chalcoptera","Columbiformes","Columbidae (Pigeons and Doves)",14.9117769753631,2.31843382233032,2992970.63440913,10.1597498657077
"1814","Pileated Woodpecker","Dryocopus pileatus","Piciformes","Picidae (Woodpeckers)",14.9002224093942,1.74667527537112,2958587.18323637,5.73550197663681
"1815","Fire-fronted Serin","Serinus pusillus","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)",14.9458926102697,2.25087843003533,3096839.42878325,9.4960738101116
"1816","Brandt's Cormorant","Phalacrocorax penicillatus","Suliformes","Phalacrocoracidae (Cormorants and Shags)",14.9166154220213,2.17549827576003,3007487.05331265,8.80657213054852
"1817","Radde's Warbler","Phylloscopus schwarzi","Passeriformes","Phylloscopidae (Leaf Warblers)",14.9283990633942,2.28612469441962,3043135.82586059,9.83674333525261
"1818","Slender-billed Prion","Pachyptila belcheri","Procellariiformes","Procellariidae (Shearwaters and Petrels)",14.8894296170231,2.25230291584457,2926827.4623842,9.50961047159966
"1819","Blue-winged Macaw","Primolius maracana","Psittaciformes","Psittacidae (New World and African Parrots)",14.9160406882116,2.33337846132418,3005759.04544083,10.3127238833338
"1820","Pied Currawong","Strepera graculina","Passeriformes","Cracticidae (Bellmagpies and Allies)",14.9456869697166,2.28034161785587,3096202.65848549,9.7800208686757
"1821","Tropical Pewee","Contopus cinereus","Passeriformes","Tyrannidae (Tyrant Flycatchers)",14.9342696863407,2.32158971813531,3061053.47127956,10.191863624874
"1822","Pectoral Sparrow","Arremon taciturnus","Passeriformes","Passerellidae (New World Sparrows)",14.9717986360219,2.31865298107804,3178114.44165952,10.1619767077726
"1823","Cinnamon Hummingbird","Amazilia rutila","Caprimulgiformes","Trochilidae (Hummingbirds)",14.9684845919092,2.34498442599822,3167599.46337946,10.4331102410061
"1824","Black-winged Bishop","Euplectes hordeaceus","Passeriformes","Ploceidae (Weavers and Allies)",14.9268798597331,2.28802114537773,3038516.19274321,9.85541593681552
"1825","Bay-headed Tanager","Tangara gyrola","Passeriformes","Thraupidae (Tanagers and Allies)",14.8953690953181,2.29414903115341,2944263.01836676,9.91599421877995
"1826","Euler's Flycatcher","Lathrotriccus euleri","Passeriformes","Tyrannidae (Tyrant Flycatchers)",14.8644247077354,2.2781783091458,2854549.8210193,9.75888653263468
"1827","Chestnut-collared Swift","Streptoprocne rutila","Caprimulgiformes","Apodidae (Swifts)",14.9070583022518,2.24028048605844,2978881.05256213,9.39596635544387
"1828","Oriole Blackbird","Gymnomystax mexicanus","Passeriformes","Icteridae (Troupials and Allies)",14.8928703461693,2.28190651433142,2936915.22762184,9.79533757026426
"1829","Gray-backed Sparrow-Lark","Eremopterix verticalis","Passeriformes","Alaudidae (Larks)",14.947039755747,2.24083683951547,3100393.99253899,9.4011952882404
"1830","Greater Wagtail-Tyrant","Stigmatura budytoides","Passeriformes","Tyrannidae (Tyrant Flycatchers)",14.924026333084,2.30078794181788,3029858.06478769,9.9820446273305
"1831","Gray Noddy","Anous albivitta","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)",14.9210089803013,2.15901215405775,3020729.69280975,8.66257613973987
"1832","African Harrier-Hawk","Polyboroides typus","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",14.9069180156751,2.28407248935733,2978463.1848483,9.81657702056769
"1833","Fluttering Shearwater","Puffinus gavia","Procellariiformes","Procellariidae (Shearwaters and Petrels)",14.9188058376868,2.23225404887509,3014081.92018109,9.32085207500298
"1834","Brown-backed Needletail","Hirundapus giganteus","Caprimulgiformes","Apodidae (Swifts)",14.9028547269085,2.32177103811359,2966385.38326266,10.1937117809139
"1835","Sociable Weaver","Philetairus socius","Passeriformes","Ploceidae (Weavers and Allies)",14.9172482010786,2.2698350327591,3009390.73037525,9.67780416172829
"1836","Red-collared Widowbird","Euplectes ardens","Passeriformes","Ploceidae (Weavers and Allies)",14.8900858881363,2.35599764867799,2928748.88511938,10.5486474580823
"1837","Little Tinamou","Crypturellus soui","Tinamiformes","Tinamidae (Tinamous)",14.9263570084525,2.32867419903501,3036927.91591297,10.2643240572668
"1838","Lesson's Seedeater","Sporophila bouvronides","Passeriformes","Thraupidae (Tanagers and Allies)",14.9130443653947,2.260930532467,2996766.3003425,9.5920106926092
"1839","Northern Harrier","Circus hudsonius","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",14.8962571430523,1.232952156856,2946878.82577801,3.43134446560398
"1840","Tawny-throated Dotterel","Oreopholus ruficollis","Charadriiformes","Charadriidae (Plovers and Lapwings)",14.9151545991257,2.30010015455189,3003096.85479921,9.97518146461578
"1841","Cinnamon Bittern","Ixobrychus cinnamomeus","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)",14.9337992913633,2.26456503345329,3059613.90570988,9.6269362950541
"1842","Ashy-headed Goose","Chloephaga poliocephala","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",14.9027911651158,2.25632127008408,2966196.84048204,9.54790033474858
"1843","Olive-sided Flycatcher","Contopus cooperi","Passeriformes","Tyrannidae (Tyrant Flycatchers)",14.9035771689586,2.20907860570738,2968529.19909843,9.10732109226763
"1844","Rufous-capped Warbler","Basileuterus rufifrons","Passeriformes","Parulidae (New World Warblers)",14.9382511717229,2.31773654277236,3073265.30541731,10.1526681490675
"1845","Northern Shrike","Lanius borealis","Passeriformes","Laniidae (Shrikes)",14.9183681849848,2.29694701967901,3012763.08770104,9.94377790791983
